system:index,mean,plot_id,.geo
2024_06_01_11,23.70959016393445,ORNL,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.28811378769365,35.959622296022445],[-84.27706863792065,35.959622296022445],[-84.27706863792065,35.96861943297577],[-84.28811378769365,35.96861943297577],[-84.28811378769365,35.959622296022445]]]}"
2024_06_01_12,26.357049180327905,TALL,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-87.39858827091463,32.94596229603296],[-87.38793478524636,32.94596229603296],[-87.38793478524636,32.95495943297578],[-87.39858827091463,32.95495943297578],[-87.39858827091463,32.94596229603296]]]}"
2024_06_09_0,33.238852459016414,OSBS,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-81.99856716909859,29.684772296043548],[-81.98827647121978,29.684772296043548],[-81.98827647121978,29.69376943297577],[-81.99856716909859,29.69376943297577],[-81.99856716909859,29.684772296043548]]]}"
2024_06_09_1,19.12374485596711,BART,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-71.29352066518113,44.05938229598957],[-71.28107951231819,44.05938229598957],[-71.28107951231819,44.068379432975775],[-71.29352066518113,44.068379432975775],[-71.29352066518113,44.05938229598957]]]}"
2024_06_09_2,28.517295081967223,BLAN,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.07738741369283,39.05576229601078],[-78.06587425843534,39.05576229601078],[-78.06587425843534,39.06475943297577],[-78.07738741369283,39.06475943297577],[-78.07738741369283,39.05576229601078]]]}"
2024_06_09_3,25.74795918367349,SERC,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.56574361898116,38.88558229601145],[-76.55425809764102,38.88558229601145],[-76.55425809764102,38.89457943297577],[-76.56574361898116,38.89457943297577],[-76.56574361898116,38.88558229601145]]]}"
2024_06_09_4,31.724939759036186,DSNY,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-81.44126030072238,28.120542296048384],[-81.43112358761474,28.120542296048384],[-81.43112358761474,28.12953943297577],[-81.44126030072238,28.12953943297577],[-81.44126030072238,28.120542296048384]]]}"
2024_06_09_5,31.30327868852462,JERC,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.47382712071564,31.19034229603875],[-84.46337626169067,31.19034229603875],[-84.46337626169067,31.199339432975766],[-84.47382712071564,31.199339432975766],[-84.47382712071564,31.19034229603875]]]}"
2024_06_09_6,21.85073770491807,GRSM,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-83.50744470474115,35.68446229602344],[-83.49643778241548,35.68446229602344],[-83.49643778241548,35.69345943297577],[-83.50744470474115,35.69345943297577],[-83.50744470474115,35.68446229602344]]]}"
2024_06_09_7,19.1675409836066,MLBS,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-80.53045606247645,37.37378229601724],[-80.51920603329634,37.37378229601724],[-80.51920603329634,37.38277943297577],[-80.53045606247645,37.38277943297577],[-80.53045606247645,37.37378229601724]]]}"
